name,description,areas,author,collection,code,rawFileDir,convFileDir
Präsentation,,Präsentation,"[{'id': 284, 'firstName': 'Universitäts- und', 'lastName': 'Landesbibliothek Darmstadt', 'title': '', 'photoAvailable': True}]","[{'id': 306, 'name': 'Workshop ""Einstieg in die Literaturverwaltung mit Zotero""'}]",by,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/38/d6/65/d0/97/0c/11/ed/b8/a3/00/50/56/bd/73/ae,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/38/d6/65/d0/97/0c/11/ed/b8/a3/00/50/56/bd/73/ae
Handout Zotero,,Handout Zotero,"[{'id': 284, 'firstName': 'Universitäts- und', 'lastName': 'Landesbibliothek Darmstadt', 'title': '', 'photoAvailable': True}]","[{'id': 306, 'name': 'Workshop ""Einstieg in die Literaturverwaltung mit Zotero""'}]",by,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/50/98/73/e0/53/9e/11/ed/8f/17/00/50/56/bd/73/ae,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/50/98/73/e0/53/9e/11/ed/8f/17/00/50/56/bd/73/ae
Übungsaufgaben,,Übungsaufgaben,"[{'id': 284, 'firstName': 'Universitäts- und', 'lastName': 'Landesbibliothek Darmstadt', 'title': '', 'photoAvailable': True}]","[{'id': 306, 'name': 'Workshop ""Einstieg in die Literaturverwaltung mit Zotero""'}]",by,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/8a/a2/1b/80/95/0b/11/ea/ba/5f/00/50/56/bd/73/ae,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/8a/a2/1b/80/95/0b/11/ea/ba/5f/00/50/56/bd/73/ae
Präsentation,,Präsentation,"[{'id': 284, 'firstName': 'Universitäts- und', 'lastName': 'Landesbibliothek Darmstadt', 'title': '', 'photoAvailable': True}]","[{'id': 371, 'name': 'Workshop ""Einstieg in wissenschaftliches Arbeiten mit Word""'}]",by-sa,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/07/87/85/10/a0/b8/11/ea/80/6c/00/50/56/bd/73/ad,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/07/87/85/10/a0/b8/11/ea/80/6c/00/50/56/bd/73/ad
Übungsaufgaben (PDF),,Übungsaufgaben (PDF),"[{'id': 284, 'firstName': 'Universitäts- und', 'lastName': 'Landesbibliothek Darmstadt', 'title': '', 'photoAvailable': True}]","[{'id': 371, 'name': 'Workshop ""Einstieg in wissenschaftliches Arbeiten mit Word""'}]",by-sa,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/3e/44/1f/a0/a0/b8/11/ea/93/6e/00/50/56/bd/73/ad,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/3e/44/1f/a0/a0/b8/11/ea/93/6e/00/50/56/bd/73/ad
Handout,,Handout,"[{'id': 284, 'firstName': 'Universitäts- und', 'lastName': 'Landesbibliothek Darmstadt', 'title': '', 'photoAvailable': True}]","[{'id': 371, 'name': 'Workshop ""Einstieg in wissenschaftliches Arbeiten mit Word""'}]",by-sa,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/eb/0f/e7/30/84/8b/11/ea/b1/53/00/50/56/bd/73/ae,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/eb/0f/e7/30/84/8b/11/ea/b1/53/00/50/56/bd/73/ae
Lecture 4 Philosophy of Science and Research in the Humanities,,Lecture 4 Philosophy of Science and Research in the Humanities,"[{'id': 61, 'firstName': 'Petra', 'lastName': 'Gehring', 'title': 'Prof. Dr.', 'photoAvailable': True}]","[{'id': 347, 'name': 'Philosophy of Science and Research in the Humanities'}]",by-nc-nd,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/2e/66/46/20/5e/cb/11/ed/bc/a5/00/50/56/bd/73/ae,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/2e/66/46/20/5e/cb/11/ed/bc/a5/00/50/56/bd/73/ae
Lecture 5 Philosophy of Science and Research in the Humanities,,Lecture 5 Philosophy of Science and Research in the Humanities,"[{'id': 61, 'firstName': 'Petra', 'lastName': 'Gehring', 'title': 'Prof. Dr.', 'photoAvailable': True}]","[{'id': 347, 'name': 'Philosophy of Science and Research in the Humanities'}]",by-nc-nd,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/bc/43/de/30/64/02/11/ed/ba/92/00/50/56/bd/73/ae,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/bc/43/de/30/64/02/11/ed/ba/92/00/50/56/bd/73/ae
Lecture 6 Philosophy of Science and Research in the Humanities,,Lecture 6 Philosophy of Science and Research in the Humanities,"[{'id': 61, 'firstName': 'Petra', 'lastName': 'Gehring', 'title': 'Prof. Dr.', 'photoAvailable': True}]","[{'id': 347, 'name': 'Philosophy of Science and Research in the Humanities'}]",by-nc-nd,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/85/61/24/20/69/8b/11/ed/95/82/00/50/56/bd/73/ae,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/85/61/24/20/69/8b/11/ed/95/82/00/50/56/bd/73/ae
Lecture 7 Philosophy of Science and Research in the Humanities,,Lecture 7 Philosophy of Science and Research in the Humanities,"[{'id': 61, 'firstName': 'Petra', 'lastName': 'Gehring', 'title': 'Prof. Dr.', 'photoAvailable': True}]","[{'id': 347, 'name': 'Philosophy of Science and Research in the Humanities'}]",by-nc-nd,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/99/a4/ee/10/6e/f1/11/ed/a6/4f/00/50/56/bd/73/ad,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/99/a4/ee/10/6e/f1/11/ed/a6/4f/00/50/56/bd/73/ad
Lecture 8 Philosophy of Science and Research in the Humanities,,Lecture 8 Philosophy of Science and Research in the Humanities,"[{'id': 61, 'firstName': 'Petra', 'lastName': 'Gehring', 'title': 'Prof. Dr.', 'photoAvailable': True}]","[{'id': 347, 'name': 'Philosophy of Science and Research in the Humanities'}]",by-nc-nd,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/27/7b/04/10/74/81/11/ed/b1/91/00/50/56/bd/73/ad,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/27/7b/04/10/74/81/11/ed/b1/91/00/50/56/bd/73/ad
Lecture 9 Philosophy of Science and Research in the Humanities,,Lecture 9 Philosophy of Science and Research in the Humanities,"[{'id': 61, 'firstName': 'Petra', 'lastName': 'Gehring', 'title': 'Prof. Dr.', 'photoAvailable': True}]","[{'id': 347, 'name': 'Philosophy of Science and Research in the Humanities'}]",by-nc-nd,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/1e/4c/3f/f0/79/f7/11/ed/80/10/00/50/56/bd/73/ad,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/1e/4c/3f/f0/79/f7/11/ed/80/10/00/50/56/bd/73/ad
Lecture 10 Philosophy of Science and Research in the Humanities,,Lecture 10 Philosophy of Science and Research in the Humanities,"[{'id': 61, 'firstName': 'Petra', 'lastName': 'Gehring', 'title': 'Prof. Dr.', 'photoAvailable': True}]","[{'id': 347, 'name': 'Philosophy of Science and Research in the Humanities'}]",by-nc-nd,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/8f/7f/7c/50/7f/88/11/ed/98/2a/00/50/56/bd/73/ae,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/8f/7f/7c/50/7f/88/11/ed/98/2a/00/50/56/bd/73/ae
Lecture 11 Philosophy of Science and Research in the Humanities,,Lecture 11 Philosophy of Science and Research in the Humanities,"[{'id': 61, 'firstName': 'Petra', 'lastName': 'Gehring', 'title': 'Prof. Dr.', 'photoAvailable': True}]","[{'id': 347, 'name': 'Philosophy of Science and Research in the Humanities'}]",by-nc-nd,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/d9/27/54/30/8f/fb/11/ed/9f/38/00/50/56/bd/73/ad,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/d9/27/54/30/8f/fb/11/ed/9f/38/00/50/56/bd/73/ad
Lecture 12 Philosophy of Science and Research in the Humanities,,Lecture 12 Philosophy of Science and Research in the Humanities,"[{'id': 61, 'firstName': 'Petra', 'lastName': 'Gehring', 'title': 'Prof. Dr.', 'photoAvailable': True}]","[{'id': 347, 'name': 'Philosophy of Science and Research in the Humanities'}]",by-nc-nd,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/16/b9/67/d0/95/82/11/ed/87/f4/00/50/56/bd/73/ad,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/16/b9/67/d0/95/82/11/ed/87/f4/00/50/56/bd/73/ad
Lecture 13 Philosophy of Science and Research in the Humanities,,Lecture 13 Philosophy of Science and Research in the Humanities,"[{'id': 61, 'firstName': 'Petra', 'lastName': 'Gehring', 'title': 'Prof. Dr.', 'photoAvailable': True}]","[{'id': 347, 'name': 'Philosophy of Science and Research in the Humanities'}]",by-nc-nd,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/9c/0e/e7/30/9a/f9/11/ed/bf/4e/00/50/56/bd/73/ad,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/9c/0e/e7/30/9a/f9/11/ed/bf/4e/00/50/56/bd/73/ad
Lecture 14 Philosophy of Science and Research in the Humanities,,Lecture 14 Philosophy of Science and Research in the Humanities,"[{'id': 61, 'firstName': 'Petra', 'lastName': 'Gehring', 'title': 'Prof. Dr.', 'photoAvailable': True}]","[{'id': 347, 'name': 'Philosophy of Science and Research in the Humanities'}]",by-nc-nd,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/46/0c/f1/f0/a0/bd/11/ed/84/d7/00/50/56/bd/73/ad,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/46/0c/f1/f0/a0/bd/11/ed/84/d7/00/50/56/bd/73/ad
Lecture 1 Philosophy of Science and Research in the Humanities,,Lecture 1 Philosophy of Science and Research in the Humanities,"[{'id': 61, 'firstName': 'Petra', 'lastName': 'Gehring', 'title': 'Prof. Dr.', 'photoAvailable': True}]","[{'id': 347, 'name': 'Philosophy of Science and Research in the Humanities'}]",by-nc-nd,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/d8/9d/24/50/4e/0a/11/ed/9a/cc/00/50/56/bd/73/ae,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/d8/9d/24/50/4e/0a/11/ed/9a/cc/00/50/56/bd/73/ae
Lecture 2 Philosophy of Science and Research in the Humanities,,Lecture 2 Philosophy of Science and Research in the Humanities,"[{'id': 61, 'firstName': 'Petra', 'lastName': 'Gehring', 'title': 'Prof. Dr.', 'photoAvailable': True}]","[{'id': 347, 'name': 'Philosophy of Science and Research in the Humanities'}]",by-nc-nd,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/6b/6e/ec/f0/53/d3/11/ed/b0/b7/00/50/56/bd/73/ae,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/6b/6e/ec/f0/53/d3/11/ed/b0/b7/00/50/56/bd/73/ae
Lecture 3 Philosophy of Science and Research in the Humanities,,Lecture 3 Philosophy of Science and Research in the Humanities,"[{'id': 61, 'firstName': 'Petra', 'lastName': 'Gehring', 'title': 'Prof. Dr.', 'photoAvailable': True}]","[{'id': 347, 'name': 'Philosophy of Science and Research in the Humanities'}]",by-nc-nd,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/c6/53/00/30/58/fa/11/ed/b8/d0/00/50/56/bd/73/ae,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/c6/53/00/30/58/fa/11/ed/b8/d0/00/50/56/bd/73/ae
